clamp_magnitude,forward,forward_ci95,sideways,sideways_ci95,n_participants,ballistic_fraction,sample_percent,panel,path_type
10.0,-9.436822868627448,,5.9727976589755905,,,0.2,20.0,Calibrated 2D,condition_mean
15.0,-8.551009750040674,,9.257082436116194,,,0.2,20.0,Calibrated 2D,condition_mean
20.0,-7.56015848433484,,11.443111455017732,,,0.2,20.0,Calibrated 2D,condition_mean
25.0,-6.558805860963023,,12.739437071950565,,,0.2,20.0,Calibrated 2D,condition_mean
30.0,-5.6063099754129055,,13.35378571569741,,,0.2,20.0,Calibrated 2D,condition_mean
35.0,-4.735604527362342,,13.465050607777812,,,0.2,20.0,Calibrated 2D,condition_mean
40.0,-3.9618419483783107,,13.216116671602688,,,0.2,20.0,Calibrated 2D,condition_mean
45.0,-3.2891239568822987,,12.716236180159473,,,0.2,20.0,Calibrated 2D,condition_mean
50.0,-2.7151731168963504,,12.04674023129309,,,0.2,20.0,Calibrated 2D,condition_mean
55.0,-2.2343508966997216,,11.267156031292654,,,0.2,20.0,Calibrated 2D,condition_mean
60.0,-1.8395045992298105,,10.4205709960327,,,0.2,20.0,Calibrated 2D,condition_mean
65.0,-1.5230420162241316,,9.537933885342618,,,0.2,20.0,Calibrated 2D,condition_mean
70.0,-1.2775206958625613,,8.641342136636734,,,0.2,20.0,Calibrated 2D,condition_mean
75.0,-1.095943433444635,,7.746485755852005,,,0.2,20.0,Calibrated 2D,condition_mean
80.0,-0.9718821838261729,,6.864434701628415,,,0.2,20.0,Calibrated 2D,condition_mean
85.0,-0.8995058366013797,,6.0029337208229645,,,0.2,20.0,Calibrated 2D,condition_mean
90.0,-0.8735572212904525,,5.1673354368422775,,,0.2,20.0,Calibrated 2D,condition_mean
95.0,-0.8893059442786626,,4.361271019139398,,,0.2,20.0,Calibrated 2D,condition_mean
100.0,-0.9424922046163751,,3.587131788069419,,,0.2,20.0,Calibrated 2D,condition_mean
105.0,-1.0292698702312855,,2.846415060955451,,,0.2,20.0,Calibrated 2D,condition_mean
110.0,-1.1461530542927605,,2.1399726261303442,,,0.2,20.0,Calibrated 2D,condition_mean
115.0,-1.2899681015861812,,1.4681893603246694,,,0.2,20.0,Calibrated 2D,condition_mean
120.0,-1.4578115896893173,,0.8311116778176206,,,0.2,20.0,Calibrated 2D,condition_mean
125.0,-1.647014250337854,,0.2285399013455125,,,0.2,20.0,Calibrated 2D,condition_mean
130.0,-1.8551103694428477,,-0.33990534783379633,,,0.2,20.0,Calibrated 2D,condition_mean
135.0,-2.079812078176065,,-0.8747354890402583,,,0.2,20.0,Calibrated 2D,condition_mean
140.0,-2.318987912423694,,-1.3765598290859646,,,0.2,20.0,Calibrated 2D,condition_mean
145.0,-2.5706450409557826,,-1.8460611472501225,,,0.2,20.0,Calibrated 2D,condition_mean
150.0,-2.832914613411856,,-2.2839782892797604,,,0.2,20.0,Calibrated 2D,condition_mean
155.0,-3.1040397404546187,,-2.6910937899406986,,,0.2,20.0,Calibrated 2D,condition_mean
160.0,-3.3823656808749503,,-3.068225083943955,,,0.2,20.0,Calibrated 2D,condition_mean
165.0,-3.6663318692501807,,-3.4162182564655144,,,0.2,20.0,Calibrated 2D,condition_mean
170.0,-3.9544654708475013,,-3.735943569029467,,,0.2,20.0,Calibrated 2D,condition_mean
2.0,-14.01508273189087,,4.4243881029602905,,,0.2,20.0,Human,smoothed_path
2.702928870292887,-13.944117334551068,,4.467414345677008,,,0.2,20.0,Human,smoothed_path
3.405857740585774,-13.870058069220597,,4.513357373757995,,,0.2,20.0,Human,smoothed_path
4.108786610878661,-13.792778131431174,,4.562333975826208,,,0.2,20.0,Human,smoothed_path
4.811715481171548,-13.712148605478237,,4.614460982433626,,,0.2,20.0,Human,smoothed_path
5.514644351464435,-13.628038981781877,,4.669854494013863,,,0.2,20.0,Human,smoothed_path
6.217573221757322,-13.540317766864526,,4.728628997367418,,,0.2,20.0,Human,smoothed_path
6.920502092050209,-13.44885319406916,,4.790896362844858,,,0.2,20.0,Human,smoothed_path
7.623430962343096,-13.353514042975512,,4.856764714975219,,,0.2,20.0,Human,smoothed_path
8.326359832635983,-13.254170575083815,,4.926337170174847,,,0.2,20.0,Human,smoothed_path
9.02928870292887,-13.150695592680897,,4.999710436418004,,,0.2,20.0,Human,smoothed_path
9.732217573221757,-13.04296562683487,,5.076973271407779,,,0.2,20.0,Human,smoothed_path
10.435146443514643,-12.930862259133391,,5.158204797907333,,,0.2,20.0,Human,smoothed_path
11.13807531380753,-12.81427358003787,,5.243472677526568,,,0.2,20.0,Human,smoothed_path
11.841004184100418,-12.6930957845269,,5.332831147451037,,,0.2,20.0,Human,smoothed_path
12.543933054393305,-12.567234903006383,,5.42631892838086,,,0.2,20.0,Human,smoothed_path
13.246861924686192,-12.436608662241326,,5.523957016334576,,,0.2,20.0,Human,smoothed_path
13.949790794979078,-12.301148467298216,,5.625746375962459,,,0.2,20.0,Human,smoothed_path
14.652719665271965,-12.160801491180464,,5.7316655585755925,,,0.2,20.0,Human,smoothed_path
15.355648535564853,-12.015532854017744,,5.841668274167011,,,0.2,20.0,Human,smoothed_path
16.05857740585774,-11.865327868390025,,5.955680953177334,,,0.2,20.0,Human,smoothed_path
16.761506276150627,-11.710194321719316,,6.0736003404918115,,,0.2,20.0,Human,smoothed_path
17.464435146443513,-11.550164760775932,,6.195291170952817,,,0.2,20.0,Human,smoothed_path
18.1673640167364,-11.385298737395885,,6.320583982283793,,,0.2,20.0,Human,smoothed_path
