ppid,clamp_magnitude,group,pointer,value
876915090018,115,7,Trackpad,4.179475498199463
911029371665,115,7,Mouse,-2.8692071437835693
914010886568,115,7,Trackpad,26.18877258300781
91524953255,115,7,Trackpad,-4.634498214721679
915339582134,115,7,Mouse,4.08916130065918
933626258280,115,7,Mouse,13.40326385498047
94212257303,115,7,Mouse,-83.9405927658081
996413567103,115,7,,-4.0718943277994795
99897861946,115,7,Mouse,-21.304144287109377
119388378225,125,7,Trackpad,2.3440017700195304
142243756214,125,7,Trackpad,-16.121743774414057
154695465695,125,7,Trackpad,12.855821228027338
172440417576,125,7,Mouse,-3.8573448181152417
206032965332,125,7,Trackpad,11.235000228881836
258433481445,125,7,Trackpad,-14.974977111816406
270836319308,125,7,Trackpad,19.07329330444336
295092569896,125,7,Mouse,18.617269659042357
300018938491,125,7,Mouse,33.90728397369385
314153794897,125,7,Mouse,42.86049850657582
372902434784,125,7,Mouse,-18.087985849380495
374362493632,125,7,Trackpad,-15.078977203369144
395156049868,125,7,Trackpad,9.669506835937506
412116680061,125,7,Mouse,14.56331634521484
426775530911,125,7,Mouse,-0.4548782348632855
455411954782,125,7,Mouse,34.34919213056564
482715387130,125,7,Mouse,35.308754563331604
491690849186,125,7,Trackpad,-0.9729009628295842
500659405486,125,7,Trackpad,-9.278421020507812
515614103525,125,7,Trackpad,16.930810928344727
529356644721,125,7,Mouse,-2.2585229635238653
538891392759,125,7,Mouse,1.0885929107666008
588954061502,125,7,Mouse,0.29445800781250087
621998446062,125,7,Trackpad,-19.77590103149414
624326525488,125,7,Trackpad,24.589439105987545
630191511008,125,7,Mouse,7.110577011108397
650598146952,125,7,Mouse,-5.205882263183594
678681607125,125,7,Trackpad,139.91265869140625
679935650900,125,7,Trackpad,3.006770515441894
69378932239,125,7,Trackpad,14.953833007812495
707165035419,125,7,Trackpad,-3.72530364990234
709011816186,125,7,Trackpad,3.2764732360839846
710075415438,125,7,Trackpad,-11.170053672790527
750330077949,125,7,Trackpad,-3.7998138427734376
813273714622,125,7,Mouse,1.594134521484395
826551196165,125,7,Mouse,15.874029159545895
84703686414,125,7,Mouse,2.432271194458006
850329221459,125,7,Trackpad,15.523367309570315
851634270977,125,7,Mouse,35.38077621459961
852150209946,125,7,Mouse,-3.7384208679199147
852626928128,125,7,Mouse,3.3661993980407714
876915090018,125,7,Trackpad,-34.91788883209229
911029371665,125,7,Mouse,6.780633544921874
914010886568,125,7,Trackpad,34.95823266506194
91524953255,125,7,Trackpad,5.305602264404295
915339582134,125,7,Mouse,-8.4453384399414
933626258280,125,7,Mouse,17.918042755126955
94212257303,125,7,Mouse,-82.89096164703369
996413567103,125,7,,-7.498780822753906
99897861946,125,7,Mouse,-19.75222854614258
108424307545,100,8,Mouse,18.433758544921876
132109080906,100,8,Mouse,33.65433721821755
140384659403,100,8,Mouse,-3.59718475341797
146859203465,100,8,Trackpad,12.010362243652342
186217949958,100,8,Mouse,17.242294311523445
211445384891,100,8,Mouse,25.575664520263672
220885766670,100,8,Mouse,3.664556884765619
245556890498,100,8,Mouse,30.61259087324142
251308053499,100,8,Trackpad,21.503860473632805
25723101804,100,8,Mouse,33.373231971263884
