n,mean,sd,sem,ci_low,ci_high,median,q25,q75,min,max,pointer,clamp_magnitude,n_participants
31,19.246994239716763,30.75694646163758,5.524110658663763,7.965255195967671,30.528733283465854,22.433573532104493,8.493252134323122,34.90098876953125,-105.39190716445448,72.95067670345307,Mouse,60,31
32,25.16495240152581,40.85951596762169,7.223010204176328,10.43352596664972,39.8963788364019,29.152839687466624,18.915382723510266,42.68258844465018,-125.48857192993164,145.21856307983398,Mouse,65,32
31,24.479211811456945,23.261096893386224,4.177816333010709,15.946972587063735,33.01145103585016,25.25874896049499,10.345022344589234,39.52337767332793,-15.210623741149902,68.05376358032227,Mouse,70,31
32,29.821773987956114,30.621741071221688,5.413210190799867,18.781459015649716,40.86208896026251,24.900913238525384,12.310511350631714,38.547304725646974,-20.96277160644531,125.7599391937256,Mouse,75,32
31,16.889992200342885,22.775253839799845,4.0905563446337165,8.535961646749172,25.244022753936598,23.005858993530275,2.2272328495979306,33.551301774382594,-30.27266082763672,53.24176073074341,Mouse,80,31
32,26.915120640560055,28.42969534630168,5.025707591609388,16.665122429816197,37.165118851303916,22.080059051513672,8.87949371337891,42.3444883108139,-4.397674179077149,147.58065071105958,Mouse,85,32
31,23.688473409798835,19.364402891079457,3.4779494298204794,16.585553084867875,30.791393734729795,22.10706043243408,14.894191837310785,34.006444776058196,-19.366972351074217,76.70816872715949,Mouse,90,31
25,17.246663910627365,23.09856487346241,4.619712974692482,7.712044947025229,26.781282874229504,11.95992946624756,5.330467796325683,28.90357360839844,-19.42837600708008,95.68532295227052,Mouse,95,25
30,20.645031074776007,28.471420506541563,5.198146418549325,10.013627935412973,31.27643421413904,20.582604789733885,9.481945657730103,26.190871429443362,-42.63633880615235,144.2484893798828,Mouse,100,30
25,14.367906825065614,18.026431628519642,3.6052863257039283,6.92696156318809,21.808852086943137,11.959306335449217,6.330351257324219,25.08387470245361,-21.426975631713866,51.66313171386719,Mouse,105,25
30,18.686683816115064,28.85638354157151,5.26843073124651,7.911533117046824,29.461834515183305,17.339603424072266,6.521626091003419,23.55132886171341,-29.485080003738403,145.57626571655274,Mouse,110,30
25,7.6919409484863275,24.400697745524475,4.880139549104895,-2.380172047455301,17.764053944427957,12.642964172363284,-2.8692071437835693,19.37424488067627,-83.9405927658081,39.249813842773456,Mouse,115,25
30,19.460375168124834,31.264838133513322,5.708152367490987,7.785892744322297,31.13485759192737,15.232923173904423,9.160744500160217,24.93756455183029,-44.76810073852539,156.22413597106933,Mouse,120,30
25,5.070178650647403,24.99382375099366,4.998764750198732,-5.246764727204631,15.387122028499437,2.432271194458006,-3.7384208679199142,17.918042755126955,-82.89096164703369,42.86049850657582,Mouse,125,25
