ppid,clamp_magnitude,base_sd,n_baseline,pointer
368230630876,4,6.795440697302695,10,Trackpad
368230630876,6,4.583134574788954,10,Trackpad
368230630876,8,6.654260859326922,10,Trackpad
37013057852,15,4.68560544121325,10,Mouse
37013057852,25,21.86103497423055,10,Mouse
37013057852,35,4.589590411815328,10,Mouse
37013057852,45,23.93446928953379,10,Mouse
370640644570,15,26.230025181679082,10,Mouse
370640644570,25,9.093005107232033,10,Mouse
370640644570,35,11.480360107795468,10,Mouse
370640644570,45,9.471933967489592,10,Mouse
372881010640,3,5.9808343452802495,10,Mouse
372881010640,5,5.059838954395322,10,Mouse
372881010640,7,5.417906636732791,10,Mouse
372881010640,10,5.530975280341384,10,Mouse
372902434784,95,9.563111575609277,10,Mouse
372902434784,105,9.960668714707804,10,Mouse
372902434784,115,54.27123003115548,10,Mouse
372902434784,125,11.796177860567681,10,Mouse
374362493632,95,6.395900984121176,10,Trackpad
374362493632,105,13.894769404317229,10,Trackpad
374362493632,115,9.074561542994411,10,Trackpad
374362493632,125,4.810174485083539,10,Trackpad
375371629837,20,8.924315224345834,10,Trackpad
375371629837,30,6.44775994012921,10,Trackpad
375371629837,40,8.935722591612203,10,Trackpad
375371629837,50,7.429031067270289,10,Trackpad
376660312758,2,5.209424144565956,10,Mouse
376660312758,4,8.03238184888358,10,Mouse
376660312758,6,7.833511399778501,10,Mouse
376660312758,8,5.47198787549644,10,Mouse
37822414888,100,5.999073713391805,10,Mouse
37822414888,110,9.081713692579696,10,Mouse
37822414888,120,6.591044506821809,10,Mouse
37822414888,130,6.462913255013094,10,Mouse
381056854035,135,2.6930987648695073,10,Trackpad
381056854035,145,5.663849428417115,10,Trackpad
381056854035,155,6.291132632178469,10,Trackpad
381056854035,165,6.647223519417959,10,Trackpad
381467347498,55,21.429302289892906,10,Mouse
381467347498,65,6.797511597281339,10,Mouse
381467347498,75,5.1274009859783565,10,Mouse
381467347498,85,12.010443558735567,10,Mouse
383627469185,15,6.044194775256494,10,Trackpad
383627469185,25,7.013935403439735,10,Trackpad
383627469185,35,5.942081046479095,10,Trackpad
383627469185,45,53.190742155102505,10,Trackpad
385475812479,2,11.75469076981773,10,Mouse
385475812479,4,53.25607218264598,10,Mouse
385475812479,6,94.9984176755995,10,Mouse
385475812479,8,51.2042475276947,10,Mouse
38639956153,2,40.3243959048099,10,Trackpad
38639956153,4,38.516566037230795,10,Trackpad
38639956153,6,9.289705901034532,10,Trackpad
38639956153,8,47.9812039382836,10,Trackpad
390771680977,15,179.54893532567854,10,Trackpad
390771680977,25,111.581150754858,10,Trackpad
390771680977,35,5.42743813892271,10,Trackpad
390771680977,45,179.04592000288162,10,Trackpad
394487149082,20,7.665471028466361,10,Trackpad
394487149082,30,7.932641087136997,10,Trackpad
394487149082,40,12.487431145461672,10,Trackpad
394487149082,50,8.05858412235376,10,Trackpad
395056795561,135,4.545020604281645,10,Trackpad
395056795561,145,3.9401040540245202,10,Trackpad
395056795561,155,2.7255108057507127,10,Trackpad
395056795561,165,6.9791982409741005,10,Trackpad
395156049868,95,10.141619077865963,10,Trackpad
395156049868,105,3.5351419437600784,10,Trackpad
395156049868,115,7.444716866458278,10,Trackpad
395156049868,125,15.036555445205478,10,Trackpad
398109816713,15,57.37845832315243,10,Mouse
398109816713,25,11.176897603453614,10,Mouse
398109816713,35,19.616111771430425,10,Mouse
398109816713,45,14.963737612589338,10,Mouse
399793741991,140,5.709552057786717,10,Mouse
399793741991,150,10.436330045312062,10,Mouse
399793741991,160,3.8961886664480474,10,Mouse
399793741991,170,5.251433582722237,10,Mouse
400006499374,60,5.374930606284427,10,Trackpad
400006499374,70,6.331212906732169,10,Trackpad
400006499374,80,5.210905195084955,10,Trackpad
400006499374,90,3.787955391570383,10,Trackpad
401611892739,15,110.14414498286853,10,Trackpad
401611892739,25,163.55028591280188,10,Trackpad
401611892739,35,177.09121857004902,10,Trackpad
401611892739,45,49.001822016990765,10,Trackpad
406984957400,55,6.610380386270062,10,Mouse
406984957400,65,5.754008357503162,10,Mouse
406984957400,75,31.463725202930842,10,Mouse
406984957400,85,9.758476917796639,10,Mouse
408276378177,135,7.36519525227589,10,Mouse
408276378177,145,7.940949220734701,10,Mouse
408276378177,155,12.624760892202831,10,Mouse
