ppid,clamp_magnitude,baseline_bias,pointer
62472867313,15,5.116836547851574,Mouse
62472867313,25,5.529322814941405,Mouse
62472867313,35,3.9202728271484433,Mouse
62472867313,45,11.055440711975098,Mouse
625553694320,15,6.0543334960937445,Mouse
625553694320,25,3.163563537597656,Mouse
625553694320,35,16.384939575195318,Mouse
625553694320,45,7.074828338623047,Mouse
625957949785,100,-6.662425994873047,Trackpad
625957949785,110,7.5293243408202954,Trackpad
625957949785,120,0.8573196411132813,Trackpad
625957949785,130,-3.1006301879882785,Trackpad
627511081285,140,1.2949321746826186,Trackpad
627511081285,150,-0.4261459350585934,Trackpad
627511081285,160,-0.5144561767578066,Trackpad
627511081285,170,3.9073425292968635,Trackpad
628253346774,2,-10.77404174804687,Trackpad
628253346774,4,-0.073773002624511,Trackpad
628253346774,6,-5.6443359375,Trackpad
628253346774,8,12.24759826660156,Trackpad
630191511008,95,-3.8377454757690415,Mouse
630191511008,105,-0.3552429199218807,Mouse
630191511008,115,-3.8477478027343666,Mouse
630191511008,125,-1.3505859375000013,Mouse
631329533178,135,0.33630065917968766,Mouse
631329533178,145,1.4084373474121097,Mouse
631329533178,155,23.11840209960937,Mouse
631329533178,165,10.142775726318366,Mouse
637138033052,100,-9.996958923339843,Mouse
637138033052,110,12.457351684570309,Mouse
637138033052,120,-4.083968353271482,Mouse
637138033052,130,-7.66897583007813,Mouse
641972036799,2,3.9647857666015627,Trackpad
641972036799,4,6.951203918457028,Trackpad
641972036799,6,-10.326675415039062,Trackpad
641972036799,8,-19.845361328124994,Trackpad
643459252314,20,-0.9275697708129886,Trackpad
643459252314,30,-31.714539337158197,Trackpad
643459252314,40,-2.505283355712892,Trackpad
643459252314,50,19.53694915771484,Trackpad
644298611907,140,0.005559539794920454,Mouse
644298611907,150,4.429441070556642,Mouse
644298611907,160,-1.3167648315429603,Mouse
644298611907,170,21.552420043945325,Mouse
645686800824,2,-4.235237121582034,Mouse
645686800824,4,-11.637148094177245,Mouse
