measure,phase,clamp_magnitude,n_participants,phase_center_median,mean,mean_ci_low,mean_ci_high,sd,sd_ci_low,sd_ci_high,median,q25,q75,mean_abs_dev,mean_abs_dev_ci_low,mean_abs_dev_ci_high,median_abs_dev
Between-participant spread of mean hand angle,Late adaptation,135,48,2.120738124847412,1.5337251209964353,-3.700590147078195,6.768040389071066,18.026380490454457,10.834433269919968,24.99425173608796,2.120738124847412,-8.937778544425967,11.708657109737397,12.128409063443542,8.286363747423252,15.970454379463831,10.745898747444155
Between-participant spread of mean hand angle,Baseline,140,49,-0.8186981201171875,-1.5163933578802613,-3.5616668333202988,0.5288801175597762,7.120594266955349,3.0931976766707825,10.781641517345555,-0.8186981201171875,-3.047515869140613,1.0794036865234375,3.73884528023856,1.9933350854607568,5.484355475016363,2.2109710693359377
Between-participant spread of mean hand angle,Late adaptation,140,49,2.0644275665283205,1.6475620795269408,-2.480117193340067,5.775241352393948,14.37046425289591,10.746929157839794,17.634407806693307,2.0644275665283205,-8.170251464843755,7.480430603027344,10.689832035376101,7.964373914898072,13.41529015585413,7.6833950042724615
Between-participant spread of mean hand angle,Baseline,145,48,-1.4967273712158253,-1.612415472666422,-5.724481628495507,2.4996506831626633,14.161483466425125,5.642324292907908,21.77876471603853,-1.4967273712158253,-3.887823867797852,1.2635255813598592,6.799833615620931,3.2041726274784748,10.395494603763387,2.682562637329106
Between-participant spread of mean hand angle,Late adaptation,145,48,0.19712638854980902,-0.7193595483899108,-4.71505158263514,3.276332485855318,13.760704360185953,9.8662432440876,17.170578677231934,0.19712638854980902,-7.862558221817018,4.1480938911438,9.660633617142837,6.831930714048827,12.489336520236847,6.711029052734384
Between-participant spread of mean hand angle,Baseline,150,49,0.5329376220703127,-0.09467393524792805,-1.5277071956112689,1.338359325115413,4.989087542879394,3.7982315819583268,6.050895604578059,0.5329376220703127,-2.760681152343756,2.537359619140625,3.7519389872648277,2.8026428383884276,4.701235136141228,3.0564453125000006
Between-participant spread of mean hand angle,Late adaptation,150,49,0.4445709228515567,0.03945439889722942,-4.360238484538372,4.43914728233283,15.317476268260666,12.58141285077089,17.678159614638606,0.4445709228515567,-11.76309814453125,10.66554946899414,12.437498379787622,9.919023410077276,14.955973349497967,10.710353112220771
Between-participant spread of mean hand angle,Baseline,155,48,-0.245869255065918,-1.2662445386250807,-3.9843554060969417,1.4518663288467806,9.360861584157142,4.275753737462133,14.486339640935872,-0.245869255065918,-3.1651573181152433,1.43765563964844,4.777082554499308,2.429160244840334,7.1250048641582815,2.4892875671386707
Between-participant spread of mean hand angle,Late adaptation,155,48,-1.0335952281951906,-2.044494443107397,-8.291110581836335,4.202121695621541,21.512628400765216,10.927542269855111,32.29819861348651,-1.0335952281951906,-7.568987798690797,9.136556495353577,12.531022384793808,7.472673902952812,17.589370866634802,7.722201967239382
Between-participant spread of mean hand angle,Baseline,160,49,-0.6219177246093807,-1.9416930918790867,-3.583731694358033,-0.2996544894001403,5.716737052200504,3.8009805133782923,7.271226846205948,-0.6219177246093807,-3.964971923828125,1.7301712036132812,3.9753507419508325,2.745718567924581,5.204982915977084,2.6652565002441437
Between-participant spread of mean hand angle,Late adaptation,160,49,-3.48161315917969,-2.0211327530291627,-6.464942428576455,2.42267692251813,15.471068333458396,12.051535919572133,17.96286475800656,-3.48161315917969,-11.905005073547365,8.165474319458006,12.06956744783995,9.302238852177295,14.836896043502604,9.013457489013671
Between-participant spread of mean hand angle,Baseline,165,48,-0.32681541442871814,0.3726050059000645,-3.0321168034132238,3.777326815213353,11.72547079331844,3.8699860085801294,18.722230101742156,-0.32681541442871814,-2.5343406677246074,1.9517898559570286,4.9904989242553714,1.909960873998048,8.071036974512694,2.247486877441392
Between-participant spread of mean hand angle,Late adaptation,165,48,-6.655474567413328,-3.3084780186259493,-7.844037114015439,1.227081076763541,15.619944501452725,11.265734881738132,19.40041925019145,-6.655474567413328,-10.520026016235349,4.673328399658202,11.070053097621226,7.755892982354396,14.384213212888056,7.71899740435183
Between-participant spread of mean hand angle,Baseline,170,49,0.36915283203125,-0.43899764236138816,-2.087558438168055,1.209563153445279,5.739443987471031,3.4476426074375435,7.729188058792182,0.36915283203125,-2.268585205078125,2.569314575195312,3.6233778739462084,2.332246493097907,4.91450925479451,2.508361816406239
Between-participant spread of mean hand angle,Late adaptation,170,49,0.4479507446289032,-0.0776989221572883,-4.159043562900218,4.003645718585641,14.20915080517068,10.745556503390219,17.035081596080605,0.4479507446289032,-9.04158706665039,6.292266845703128,10.490973588885094,7.768633342745272,13.213313835024916,8.252947664260862
