ppid,clamp_magnitude,raw_signed_baseline_bias,signed_clamp_angle,target_clamp_sign,pointer
716171277686,85,-10.581753540039065,85.0,1,Trackpad
720725221093,55,-0.9395111083984432,55.0,1,Trackpad
720725221093,65,4.887351226806641,65.0,1,Trackpad
720725221093,75,6.678877258300782,75.0,1,Trackpad
720725221093,85,-0.3603637695312528,85.0,1,Trackpad
720964792417,60,12.197339248657226,-60.0,-1,Mouse
720964792417,70,-2.9317382812499972,-70.0,-1,Mouse
720964792417,80,-23.275253295898438,-80.0,-1,Mouse
720964792417,90,-12.614395904541007,-90.0,-1,Mouse
724549951264,100,-1.7383148789405822,-100.0,-1,Mouse
724549951264,110,-13.80955696105957,-110.0,-1,Mouse
724549951264,120,7.256845092773451,-120.0,-1,Mouse
724549951264,130,21.170899200439457,-130.0,-1,Mouse
72586384601,60,14.333022308349607,60.0,1,Mouse
72586384601,70,-22.307265281677246,70.0,1,Mouse
72586384601,80,-8.802742004394535,80.0,1,Mouse
72586384601,90,-15.553549194335943,90.0,1,Mouse
726770222419,15,0.161614990234375,-15.0,-1,Trackpad
726770222419,25,5.680808258056642,-25.0,-1,Trackpad
726770222419,35,2.027777099609369,-35.0,-1,Trackpad
726770222419,45,-6.898908996582034,-45.0,-1,Trackpad
730041648726,140,2.1866851806640626,140.0,1,Mouse
730041648726,150,-8.203768157958985,150.0,1,Mouse
730041648726,160,-13.176654052734374,160.0,1,Mouse
730041648726,170,-15.644329833984376,170.0,1,Mouse
73180105537,60,-2.362806510925293,60.0,1,Mouse
73180105537,70,3.075033569335943,70.0,1,Mouse
73180105537,80,-18.13378601074219,80.0,1,Mouse
73180105537,90,-3.029696655273449,90.0,1,Mouse
735366842709,100,16.852487182617175,100.0,1,Mouse
735366842709,110,-29.6022705078125,110.0,1,Mouse
735366842709,120,2.700058746337885,120.0,1,Mouse
735366842709,130,-14.868737888336181,130.0,1,Mouse
737828750163,2,1.4209915161132813,-2.0,-1,Mouse
737828750163,4,3.0323272705078126,-4.0,-1,Mouse
737828750163,6,0.42459106445311934,-6.0,-1,Mouse
737828750163,8,-3.3157386779785143,-8.0,-1,Mouse
740180686814,55,-5.299203109741211,55.0,1,Mouse
