age,browser_version,computer,consent_time,gender,hand,height_px,monitor,pointer,ppid_session_dataname,px_ratio,width_px
37.0,"Chrome, 118",Laptop,10/13/2023 1:07:52 PM,Male,Left,1080,External Monitor,Mouse,310154362348_s001_participant_details,1,1920
52.0,"Chrome, 117",Desktop,10/13/2023 1:03:31 PM,Male,Right,1050,External Monitor,Mouse,16847613267_s001_participant_details,1.100000023841858,1680
43.0,"Chrome, 117",Laptop,10/13/2023 1:04:39 PM,Female,Right,768,Laptop Monitor,Trackpad,696330509847_s001_participant_details,1,1366
30.0,"Chrome, 118",Desktop,10/13/2023 1:14:24 PM,Male,Right,864,External Monitor,Mouse,326031055534_s001_participant_details,1.25,1536
48.0,"Chrome, 117",Laptop,10/12/2023 1:32:59 PM,Female,Right,864,Laptop Monitor,Trackpad,270836319308_s001_participant_details,1.25,1536
27.0,"Firefox, 112",Desktop,10/13/2023 3:35:18 PM,Male,Right,1728,External Monitor,Mouse,831461226101_s001_participant_details,1.25,3072
51.0,"Chrome, 117",Laptop,10/12/2023 1:51:52 PM,Female,Right,768,Laptop Monitor,Trackpad,515614103525_s001_participant_details,1,1366
21.0,"Chrome, 117",Laptop,10/13/2023 1:07:32 PM,Male,Right,720,Laptop Monitor,Mouse,740180686814_s001_participant_details,1.5,1280
54.0,"Chrome, 117",Laptop,10/13/2023 1:09:27 PM,Male,Left,768,Laptop Monitor,Mouse,530454018851_s001_participant_details,1,1366
27.0,"Chrome, 116",Laptop,10/12/2023 1:33:42 PM,Male,Right,900,Laptop Monitor,Mouse,204680910799_s001_participant_details,1,1600
24.0,"Chrome, 117",Laptop,10/12/2023 1:51:33 PM,Male,Right,1000,External Monitor,Mouse,703684205887_s001_participant_details,2,1500
