group,perturbSize,sub,trialType,cycleNum,handangle
1,2,2,1,44,1.92670499421455
1,2,2,1,45,5.88411697444679
1,2,2,1,46,6.12082158473031
1,2,2,1,47,0.257613791096012
1,2,2,1,48,2.44329083119386
1,2,2,1,49,4.03420889921901
1,2,2,1,50,2.63921107743089
1,2,2,1,51,4.30978581670088
1,2,2,1,52,4.88741900897249
1,2,2,1,53,6.38062701876458
1,2,2,1,54,3.92435441515009
1,2,2,1,55,4.43672100936256
1,2,2,1,56,5.73632961643806
1,2,2,1,57,3.92799179335303
1,2,2,1,58,4.83341200497422
1,2,2,1,59,6.41506104938265
1,2,2,1,60,6.25634898730886
1,2,2,1,61,5.08388719296565
1,2,2,1,62,4.8207212753457
1,2,2,1,63,7.44889070115249
1,2,2,1,64,5.87529670767238
1,2,2,1,65,7.84457105676785
1,2,2,1,66,8.83375469672022
1,2,2,1,67,8.49160727403728
1,2,2,1,68,6.2335289494778
1,2,2,1,69,4.39557996221028
1,2,2,1,70,6.42240990718369
1,2,2,1,71,8.83993007529773
1,2,2,1,72,6.69418937459049
1,2,2,1,73,4.86205086615483
1,2,2,1,74,7.59782483630469
1,2,2,1,75,7.32661658963758
1,2,2,1,76,8.45433579425765
1,2,2,1,77,5.9245371035124
1,2,2,1,78,7.55505718750344
1,2,2,1,79,9.39368586804104
1,2,2,1,80,9.55542500132552
1,2,2,1,81,9.37655386921718
1,2,2,1,82,9.79659061625727
1,2,2,1,83,8.62193000563314
1,2,2,1,84,9.29407772608434
1,2,2,1,85,6.35073165972278
1,2,2,1,86,8.88359999689579
1,2,2,1,87,7.18955991666335
1,2,2,1,88,7.55999714030151
1,2,2,1,89,9.50069494691135
1,2,2,1,90,5.13935287076772
1,2,2,1,91,6.16002773144081
1,2,2,1,92,8.33279214390454
1,2,2,1,93,8.34837371513598
1,2,2,1,94,11.0316119354439
1,2,2,1,95,8.69395769401179
1,2,2,1,96,10.2344185573835
1,2,2,1,97,9.34787444852674
1,2,2,1,98,7.32001819322118
1,2,2,1,99,11.6306640981641
1,2,2,1,100,8.35204453381615
1,2,2,1,101,8.13622424195257
1,2,2,1,102,9.92212137311446
1,2,2,1,103,9.28719328492176
1,2,2,1,104,11.246889504811
1,2,2,1,105,11.2252304292154
1,2,2,1,106,6.46800876775041
1,2,2,1,107,8.46551567387802
1,2,2,1,108,8.59643908974035
1,2,2,1,109,7.05621104234905
1,2,2,1,110,7.52352309675392
1,2,2,2,111,11.3844321554147
1,2,2,2,112,7.74239721724708
1,2,2,2,113,5.27305292383199
1,2,2,2,114,8.38608326025235
1,2,2,2,115,7.26357509133338
1,2,2,2,116,8.50173280189035
1,2,2,2,117,6.324216750819
1,2,2,2,118,4.27123220834351
1,2,2,2,119,8.94015339181929
1,2,2,2,120,11.8237493596971
1,2,3,0,1,-0.427014214714698
1,2,3,0,2,-6.6128144553772
1,2,3,0,3,-0.24526452542302
1,2,3,0,4,-1.23788256671882
1,2,3,0,5,2.53958497913721
1,2,3,0,6,2.96903146052046
1,2,3,0,7,-0.601260684430628
1,2,3,0,8,-1.57412869828896
1,2,3,0,9,0.32373669122824
1,2,3,0,10,0.50729288812891
1,2,3,0,11,0.105984613427475
1,2,3,0,12,0.814060547071594
1,2,3,0,13,1.54844239740598
1,2,3,0,14,-1.50123412327363
1,2,3,0,15,-1.86320381995039
1,2,3,0,16,0.0746293642129381
1,2,3,0,17,-0.331324951408439
1,2,3,0,18,1.76874132421212
1,2,3,0,19,4.7356969113407
1,2,3,0,20,-0.922670281560581
1,2,3,0,21,0.673593493078249
1,2,3,0,22,0.866260959684775
1,2,3,0,23,3.56662334202095
1,2,3,0,24,-0.891606508597654
1,2,3,0,25,-0.21431580815756
1,2,3,0,26,1.08216834873641
1,2,3,0,27,2.98301490461414
1,2,3,0,28,2.76553748389177
1,2,3,0,29,4.13107126572363
1,2,3,0,30,2.97643704222818
1,2,3,1,31,-1.1255843236687
1,2,3,1,32,3.83214069093266
1,2,3,1,33,0.572373849355791
1,2,3,1,34,-0.191874719635807
1,2,3,1,35,1.10600207789717
1,2,3,1,36,3.52860524696162
1,2,3,1,37,4.7809644024115
1,2,3,1,38,4.2002694717919
1,2,3,1,39,2.37125894106989
1,2,3,1,40,4.06882848745474
1,2,3,1,41,6.41939549081977
1,2,3,1,42,4.942249375361
1,2,3,1,43,3.12627447065678
1,2,3,1,44,5.70694405877021
1,2,3,1,45,6.15181059387366
1,2,3,1,46,3.9066726313154
1,2,3,1,47,6.82959824549225
1,2,3,1,48,4.34264538636817
1,2,3,1,49,3.95024626355736
1,2,3,1,50,6.25710709686186
1,2,3,1,51,2.70987646974446
1,2,3,1,52,5.58774979495403
1,2,3,1,53,7.81846255859157
1,2,3,1,54,4.00708292632414
1,2,3,1,55,6.90416901266707
1,2,3,1,56,3.92607921130628
1,2,3,1,57,3.84242524262862
1,2,3,1,58,3.3471560019878
1,2,3,1,59,0.795397357998062
1,2,3,1,60,0.85479420327657
1,2,3,1,61,4.98244642284927
1,2,3,1,62,5.76623669418449
1,2,3,1,63,4.56176634761084
1,2,3,1,64,3.47099858089598
1,2,3,1,65,5.47340435659216
1,2,3,1,66,8.35469161736632
1,2,3,1,67,5.15876046786275
1,2,3,1,68,9.26304224639212
1,2,3,1,69,3.96664885453562
1,2,3,1,70,2.81976308604576
1,2,3,1,71,5.55627499085972
1,2,3,1,72,5.61217387603943
1,2,3,1,73,3.67930085220753
1,2,3,1,74,6.51843270825404
1,2,3,1,75,6.13153487848015
1,2,3,1,76,6.63585219752121
1,2,3,1,77,10.4003990897505
1,2,3,1,78,9.95701548858939
1,2,3,1,79,15.8669100901673
1,2,3,1,80,5.74660688085217
1,2,3,1,81,6.26991985873864
1,2,3,1,82,9.9306028965442
1,2,3,1,83,6.27823866033189
1,2,3,1,84,10.0559114173473
1,2,3,1,85,9.47013719709257
1,2,3,1,86,11.1911246422485
1,2,3,1,87,10.7489667280956
1,2,3,1,88,8.29396829049423
1,2,3,1,89,12.8720794127023
1,2,3,1,90,9.28784602659331
1,2,3,1,91,13.232753797082
1,2,3,1,92,11.5778218893022
1,2,3,1,93,10.2519050124115
1,2,3,1,94,9.29767404666747
1,2,3,1,95,8.98339743611612
1,2,3,1,96,8.01629370167697
1,2,3,1,97,9.93521380950613
1,2,3,1,98,9.63278930172635
1,2,3,1,99,7.62711702567912
1,2,3,1,100,12.3801303516513
1,2,3,1,101,8.94023377035632
1,2,3,1,102,7.63528277336581
1,2,3,1,103,9.16239390571224
1,2,3,1,104,12.2822015680981
1,2,3,1,105,14.6128196288373
1,2,3,1,106,13.8905203272808
1,2,3,1,107,8.29206788553135
1,2,3,1,108,14.0449996612264
1,2,3,1,109,9.75945050945318
1,2,3,1,110,12.9808023837545
1,2,3,2,111,10.5164005270238
1,2,3,2,112,15.075889373816
1,2,3,2,113,15.808976950893
1,2,3,2,114,17.5245987397966
1,2,3,2,115,13.6456410075891
1,2,3,2,116,15.3638418363407
1,2,3,2,117,8.97372540142858
1,2,3,2,118,11.7272393560418
1,2,3,2,119,11.6283271342602
1,2,3,2,120,11.8494740464075
1,2,4,0,1,1.23794101067816
1,2,4,0,2,3.76645586556451
1,2,4,0,3,-3.3200350112778
1,2,4,0,4,-2.88977959283513
1,2,4,0,5,-3.02819269076091
1,2,4,0,6,-7.02814005583087
1,2,4,0,7,-4.75474249405656
1,2,4,0,8,0.0205619761592817
1,2,4,0,9,-4.24680641174127
1,2,4,0,10,-4.66435682278514
1,2,4,0,11,-3.25552234837113
1,2,4,0,12,-0.781795976554856
1,2,4,0,13,-1.29909013967906
1,2,4,0,14,-1.7988852914865
1,2,4,0,15,-1.62170867660496
1,2,4,0,16,-0.983037795508661
1,2,4,0,17,-0.718509578366213
1,2,4,0,18,-4.59106069057645
1,2,4,0,19,-1.29908018886684
1,2,4,0,20,1.14291198089436
1,2,4,0,21,-1.09007673785938
1,2,4,0,22,-1.97277568621727
1,2,4,0,23,-1.5792294469894
1,2,4,0,24,-2.05189121656268
1,2,4,0,25,-3.93624181515174
1,2,4,0,26,-3.37377837421221
1,2,4,0,27,-2.86715246026054
1,2,4,0,28,-1.91803028454971
1,2,4,0,29,-3.51603462830391
1,2,4,0,30,-2.78394882633249
1,2,4,1,31,1.62884452988088
1,2,4,1,32,-2.01907146217516
1,2,4,1,33,-0.473698151405613
1,2,4,1,34,-0.411038682524913
1,2,4,1,35,1.18394735884436
